,name,player_status,player_stat,country,Age,Major_team,uncapped,Specialist,Batting_style,Bowling_style,Mat_in,Runs_in,HS_in,Bat_avg_in,Bat_SR_in,Wkts_in,Bowl_Ave_in,Econ_in,Bowl_SR_in,Mat_FC,Runs_FC,HS_FC,Bat_avg_FC,Bat_SR_FC,Wkts_FC,Bowl_Ave_FC,Econ_FC,Bowl_SR_FC,Skill
0,MS Dhoni,captain/keeper,https://www.espncricinfo.com//ci/content/player/28081.html,India,39,India,No,Wicketkeeper batsman,Right-hand bat,Right-arm medium,98,1617,56,37.6,126.13,-,-,-,-,320,6665,84*,39.91,135.66,0,-,12.50,-,Wicketkeeper batsman
1,KM Asif,Indian player,https://www.espncricinfo.com//ci/content/player/1083030.html,India,27,Chennai Super Kings,Yes,Bowler,Right-hand bat,Right-arm medium,0,0,0,0,0,0,0,0,0,10,1,1*,-,33.33,11,20.81,7.63,16.3,Bowler
2,Dwayne Bravo,overseas player,https://www.espncricinfo.com//ci/content/player/51439.html,West Indies,36,West Indies,No,Allrounder,Right-hand bat,Right-arm medium,71,1151,66*,23.97,116.49,59,27.11,8.34,19.5,465,6324,70*,23.95,127.01,506,24.56,8.23,17.9,Allrounder
3,Deepak Chahar,Indian player,https://www.espncricinfo.com//ci/content/player/447261.html,India,28,India,No,Bowler,Right-hand bat,Right-arm medium,10,1,1*,-,100.0,17,14.76,7.0,12.6,78,240,55*,12.00,133.33,98,20.68,7.33,16.9,Bowler
4,Piyush Chawla,Indian player,https://www.espncricinfo.com//ci/content/player/32966.html,India,31,India,No,Allrounder,Left-hand bat,Legbreak,7,0,0,0.0,0.0,4,37.75,6.56,34.5,240,1361,45*,14.79,125.43,255,24.4,7.47,19.6,Allrounder
5,Sam Curran,overseas player,https://www.espncricinfo.com//ci/content/player/662973.html,England,22,England,No,Allrounder,Left-hand bat,Left-arm medium-fast,5,35,24,11.66,152.17,6,25.5,8.5,18.0,72,874,55*,19.0,133.63,68,29.35,8.58,20.5,Allrounder
6,Faf du Plessis,overseas player,https://www.espncricinfo.com//ci/content/player/44828.html,South Africa,36,South Africa,No,Middle-order batsman,Right-hand bat,Legbreak,47,1407,119,34.31,134.12,0,-,2.25,-,222,5431,119,29.67,127.54,50,18.34,6.96,15.8,batsman
7,Josh Hazlewood,overseas player,https://www.espncricinfo.com//ci/content/player/288284.html,Australia,29,Australia,No,Bowler,Left-hand bat,Right-arm fast-medium,8,-,-,-,-,9,32.44,9.12,21.3,37,23,12*,11.50,88.46,43,24.74,7.5,19.7,Bowler
8,Imran Tahir,overseas player,https://www.espncricinfo.com//ci/content/player/40618.html,South Africa,41,South Africa,No,Bowler,Right-hand bat,Legbreak googly,38,19,9*,19.0,105.55,63,15.04,6.73,13.4,301,241,23,10.04,106.16,380,19.69,6.96,16.9,Bowler
9,Ravindra Jadeja,Indian player,https://www.espncricinfo.com//ci/content/player/234675.html,India,31,India,No,Allrounder,Left-hand bat,Slow left-arm orthodox,49,173,25,12.35,101.76,39,29.53,7.1,24.9,240,2333,48,22.0,123.04,160,30.5,7.64,23.9,Allrounder
