,name,player_status,player_stat,country,Age,Major_team,uncapped,Specialist,Batting_style,Bowling_style,Mat_in,Runs_in,HS_in,Bat_avg_in,Bat_SR_in,Wkts_in,Bowl_Ave_in,Econ_in,Bowl_SR_in,Mat_FC,Runs_FC,HS_FC,Bat_avg_FC,Bat_SR_FC,Wkts_FC,Bowl_Ave_FC,Econ_FC,Bowl_SR_FC,Skill
0,Shreyas Iyer,captain,https://www.espncricinfo.com//ci/content/player/642519.html,India,25,India,No,Top-order batsman,Right-hand bat,Legbreak googly,22,417,62,27.8,129.5,-,-,-,-,127,3388,147,31.66,130.6,1,72.00,10.53,41.0,batsman
1,Ravichandran Ashwin,Indian player,https://www.espncricinfo.com//ci/content/player/26421.html,India,34,India,No,Bowling allrounder,Right-hand bat,Right-arm offbreak,46,123,31*,30.75,106.95,52,22.94,6.97,19.7,233,718,46,13.29,114.69,237,24.14,6.87,21.0,Allrounder
2,Avesh Khan,Indian player,https://www.espncricinfo.com//ci/content/player/694211.html,India,23,Delhi Capitals,Yes,Bowler,Right-hand bat,Right-arm medium-fast,0,0,0,0,0,0,0,0,0,22,11,7,5.5,64.7,18,37.66,8.58,26.3,Bowler
3,Alex Carey,overseas player,https://www.espncricinfo.com//ci/content/player/326434.html,Australia,29,Australia,No,Wicketkeeper batsman,Left-hand bat,Wicketkeeper,30,176,37*,12.57,116.55,-,-,-,-,76,1624,100,30.07,130.23,-,-,-,-,Wicketkeeper batsman
4,Shikhar Dhawan,Indian player,https://www.espncricinfo.com//ci/content/player/28235.html,India,34,India,No,Opening batsman,Left-hand bat,Right-arm offbreak,61,1588,92,28.35,128.27,-,-,-,-,261,7329,97*,31.59,123.63,4,16.50,8.25,12.0,batsman
5,Shimron Hetmyer,overseas player,https://www.espncricinfo.com//ci/content/player/670025.html,West Indies,23,West Indies,No,Top-order batsman,Left-hand bat,No bowling,25,354,56,19.66,122.91,-,-,-,-,68,1382,100,25.12,129.52,-,-,-,-,batsman
6,Sandeep Lamichhane,overseas player,https://www.espncricinfo.com//ci/content/player/960361.html,Nepal,20,Nepal,No,Bowler,Right-hand bat,Legbreak googly,21,24,9,4.0,70.58,34,14.55,6.51,13.4,88,63,10*,4.84,70.0,117,18.15,6.71,16.2,Bowler
7,Amit Mishra,Indian player,https://www.espncricinfo.com//ci/content/player/31107.html,India,37,India,No,Bowler,Right-hand bat,Legbreak,10,0,0,0.0,-,16,15.0,6.31,14.2,230,782,49,13.71,98.36,253,22.79,7.17,19.0,Bowler
8,Anrich Nortje,overseas player,https://www.espncricinfo.com//ci/content/player/481979.html,South Africa,26,South Africa,No,Bowler,Right-hand bat,Right-arm fast,3,2,2,2.0,33.33,2,48.5,8.81,33.0,24,10,4,3.33,58.82,29,22.06,7.47,17.7,Bowler
9,Rishabh Pant,wicketkeeper,https://www.espncricinfo.com//ci/content/player/931581.html,India,22,India,No,Wicketkeeper batsman,Left-hand bat,Wicketkeeper,28,410,65*,20.5,121.66,-,-,-,-,99,2743,128*,33.45,155.41,-,-,-,-,Wicketkeeper batsman
10,Axar Patel,Indian player,https://www.espncricinfo.com//ci/content/player/554691.html,India,26,India,No,Bowling allrounder,Left-hand bat,Slow left-arm orthodox,11,68,20*,17.0,125.92,9,29.44,6.79,26.0,133,1517,70*,22.64,129.32,116,28.19,6.9,24.5,Allrounder
