,name,player_status,player_stat,country,Age,Major_team,uncapped,Specialist,Batting_style,Bowling_style,Mat_in,Runs_in,HS_in,Bat_avg_in,Bat_SR_in,Wkts_in,Bowl_Ave_in,Econ_in,Bowl_SR_in,Mat_FC,Runs_FC,HS_FC,Bat_avg_FC,Bat_SR_FC,Wkts_FC,Bowl_Ave_FC,Econ_FC,Bowl_SR_FC,Skill
0,Dinesh Karthik,captain/keeper,https://www.espncricinfo.com//ci/content/player/30045.html,India,35,India,No,Wicketkeeper batsman,Right-hand bat,Right-arm offbreak,32,399,48,33.25,143.52,-,-,-,-,290,5738,97*,27.58,132.82,1,10.00,5.00,12.0,Wicketkeeper batsman
1,Ali Khan,overseas player,https://www.espncricinfo.com//ci/content/player/927119.html,United States of America,29,United States of America,No,Bowler,Right-hand bat,Right-arm fast-medium,0,0,0,0,0,0,0,0,0,36,11,8,5.5,91.66,38,27.13,8.63,18.8,Bowler
2,Tom Banton,overseas player,https://www.espncricinfo.com//ci/content/player/877051.html,England,21,England,No,Opening batsman,Right-hand bat,Wicketkeeper,9,205,71,22.77,143.35,-,-,-,-,40,1093,100,29.54,154.16,-,-,-,-,batsman
3,Pat Cummins,overseas player,https://www.espncricinfo.com//ci/content/player/489889.html,Australia,27,Australia,No,Bowler,Right-hand bat,Right-arm fast,30,48,13*,6.85,114.28,37,20.62,6.93,17.8,84,356,39,15.47,133.33,98,24.87,7.78,19.1,Bowler
4,Lockie Ferguson,overseas player,https://www.espncricinfo.com//ci/content/player/493773.html,New Zealand,29,New Zealand,No,Bowler,Right-hand bat,Right-arm fast,8,1,1,1.00,33.33,14,15.85,7.16,13.2,51,23,8*,5.75,67.64,47,28.31,7.69,22.0,Bowler
5,Chris Green,overseas player,https://www.espncricinfo.com//ci/content/player/787073.html,Australia,26,Birmingham Bears,No,Allrounder,Right-hand bat,Right-arm offbreak,0,0,0,0,0,0,0,0,0,93,523,49,14.52,124.52,74,27.33,6.64,24.6,Allrounder
6,Kuldeep Yadav,Indian player,https://www.espncricinfo.com//ci/content/player/559235.html,India,25,India,No,Bowler,Left-hand bat,Slow left-arm chinaman,21,20,16,20.0,100.0,39,13.76,7.11,11.6,96,113,17*,12.55,94.95,119,21.58,7.56,17.1,Bowler
7,Siddhesh Lad,Indian player,https://www.espncricinfo.com//ci/content/player/422342.html,India,28,India A,Yes,Middle-order batsman,Right-hand bat,Right-arm offbreak,0,0,0,0,0,0,0,0,0,44,703,82,26.03,122.9,18,21.5,7.16,18.0,batsman
8,Eoin Morgan,overseas player,https://www.espncricinfo.com//ci/content/player/24598.html,England,34,England,No,Middle-order batsman,Left-hand bat,Right-arm medium,94,2240,91,30.27,138.95,-,-,-,-,292,6481,91,27.11,132.42,-,-,-,-,batsman
9,Kamlesh Nagarkoti,Indian player,https://www.espncricinfo.com//ci/content/player/1070188.html,India,20,India Under-19s,Yes,Bowler,Right-hand bat,Right-arm fast,0,0,0,0,0,0,0,0,0,1,-,-,-,-,0,-,8.5,-,Bowler
10,Nikhil Naik,Indian player,https://www.espncricinfo.com//ci/content/player/554700.html,India,25,Kings XI Punjab,Yes,Wicketkeeper batsman,Right-hand bat,Wicketkeeper,0,0,0,0,0,0,0,0,0,51,900,95*,29.03,127.84,-,-,-,-,Wicketkeeper batsman
11,Sunil Narine,overseas player,https://www.espncricinfo.com//ci/content/player/230558.html,West Indies,32,West Indies,No,Bowling allrounder,Left-hand bat,Right-arm offbreak,51,155,30,10.33,112.31,52,21.25,6.01,21.1,343,2394,79,15.15,146.51,386,20.37,6.01,20.3,Allrounder
12,Prasidh Krishna,Indian player,https://www.espncricinfo.com//ci/content/player/917159.html,India,24,Bellary Tuskers,Yes,Bowler,Right-hand bat,Right-arm medium-fast,0,0,0,0,0,0,0,0,0,28,1,1*,1.0,14.28,24,36.66,8.66,25.3,Bowler
13,Nitish Rana,Indian player,https://www.espncricinfo.com//ci/content/player/604527.html,India,26,Delhi,Yes,Middle-order batsman,Left-hand bat,Right-arm offbreak,0,0,0,0,0,0,0,0,0,98,2160,97,27.34,135.93,26,20.38,6.98,17.5,batsman
14,Andre Russell,overseas player,https://www.espncricinfo.com//ci/content/player/276298.html,West Indies,32,West Indies,No,Allrounder,Right-hand bat,Right-arm fast,49,540,47,20.0,151.26,26,37.46,9.08,24.7,332,5598,121*,27.3,169.63,296,25.94,8.28,18.7,Allrounder
15,Sandeep Warrier,Indian player,https://www.espncricinfo.com//ci/content/player/592735.html,India,29,India Under-23s,Yes,Bowler,Right-hand bat,Right-arm medium,0,0,0,0,0,0,0,0,0,48,13,7*,4.33,43.33,46,27.04,7.27,22.3,Bowler
16,Shivam Mavi,Indian player,https://www.espncricinfo.com//ci/content/player/1079848.html,India,21,India Under-19s,Yes,Allrounder,Right-hand bat,Right-arm fast-medium,0,0,0,0,0,0,0,0,0,11,22,9,5.5,88.0,7,45.28,9.32,29.1,Allrounder
17,Shubman Gill,Indian player,https://www.espncricinfo.com//ci/content/player/1070173.html,India,21,India,No,Opening batsman,Right-hand bat,Right-arm offbreak,0,0,0,0,0,0,0,0,0,39,854,78,35.58,131.58,-,-,-,-,batsman
18,Rinku Singh,Indian player,https://www.espncricinfo.com//ci/content/player/723105.html,India,22,Kings XI Punjab,Yes,Middle-order batsman,Left-hand bat,Right-arm offbreak,0,0,0,0,0,0,0,0,0,53,763,56*,20.62,137.97,2,45.0,12.85,21.0,batsman
19,Rahul Tripathi,Indian player,https://www.espncricinfo.com//ci/content/player/446763.html,India,29,Kolkata Knight Riders,Yes,Top-order batsman,Right-hand bat,Right-arm medium,0,0,0,0,0,0,0,0,0,72,1501,93,25.87,129.95,12,23.41,7.59,18.5,batsman
22,Manimaran Siddharth,Indian player,https://www.espncricinfo.com/ci/content/player/1151286.html,India,22,Chepauk Super Gillies,Yes,Bowler,Right-hand bat,Slow left-arm orthodox,0,0,0,0,0,0,0,0,0,5,1,1*,-,50.0,12,7.41,4.94,9.0,Bowler
23,Varun Chakravarthy,Indian player,https://www.espncricinfo.com/ci/content/player/1108375.html,India,29,Karaikudi Kaalai,Yes,Bowler,Right-hand bat,Legbreak googly,0,0,0,0,0,0,0,0,0,2,-,-,-,-,2,30.0,8.57,21.0,Bowler
