,name,player_status,player_stat,country,Age,Major_team,uncapped,Specialist,Batting_style,Bowling_style,Mat_in,Runs_in,HS_in,Bat_avg_in,Bat_SR_in,Wkts_in,Bowl_Ave_in,Econ_in,Bowl_SR_in,Mat_FC,Runs_FC,HS_FC,Bat_avg_FC,Bat_SR_FC,Wkts_FC,Bowl_Ave_FC,Econ_FC,Bowl_SR_FC,Skill
0,KL Rahul,captain/keeper,https://www.espncricinfo.com//ci/content/player/422108.html,India,28,India,No,Opening batsman,Right-hand bat,Wicketkeeper,42,1461,110*,45.65,146.1,-,-,-,-,133,4229,132*,43.15,141.15,-,-,-,-,batsman
1,Mayank Agarwal,Indian player,https://www.espncricinfo.com//ci/content/player/398438.html,India,29,India,No,Batsman,Right-hand bat,No bowling,0,0,0,0,0,0,0,0,0,138,3084,111,25.07,132.53,0,-,8.00,-,batsman
2,Arshdeep Singh,Indian player,https://www.espncricinfo.com//ci/content/player/1125976.html,India,21,India Under-19s,Yes,Bowler,Left-hand bat,Left-arm medium-fast,0,0,0,0,0,0,0,0,0,3,-,-,-,-,3,36.33,10.9,20.0,Bowler
3,Murugan Ashwin,Indian player,https://www.espncricinfo.com//ci/content/player/528067.html,India,30,Chepauk Super Gillies,Yes,Bowler,Right-hand bat,Legbreak googly,0,0,0,0,0,0,0,0,0,58,98,34*,8.9,86.72,58,24.44,7.34,19.9,Bowler
4,Sheldon Cottrell,overseas player,https://www.espncricinfo.com//ci/content/player/495551.html,West Indies,31,West Indies,No,Bowler,Right-hand bat,Left-arm fast-medium,27,15,4*,5.0,68.18,36,20.5,7.83,15.6,97,158,26*,7.9,116.17,132,19.47,7.44,15.6,Bowler
5,Chris Gayle,overseas player,https://www.espncricinfo.com//ci/content/player/51880.html,West Indies,41,West Indies,No,Allrounder,Left-hand bat,Right-arm offbreak,58,1627,117,32.54,142.84,17,22.17,7.09,18.7,404,13296,175*,38.2,146.94,80,31.1,7.64,24.4,Allrounder
6,Krishnappa Gowtham,Indian player,https://www.espncricinfo.com//ci/content/player/424377.html,India,31,Karnataka,Yes,Bowling allrounder,Right-hand bat,Right-arm offbreak,0,0,0,0,0,0,0,0,0,57,541,60,15.45,161.97,36,36.77,7.65,28.8,Allrounder
7,Deepak Hooda,Indian player,https://www.espncricinfo.com//ci/content/player/497121.html,India,25,Baroda,Yes,Allrounder,Right-hand bat,Right-arm offbreak,0,0,0,0,0,0,0,0,0,116,1617,108,21.27,135.2,15,48.46,7.8,37.2,Allrounder
8,Chris Jordan,overseas player,https://www.espncricinfo.com//ci/content/player/288992.html,England,31,England,No,Bowler,Right-hand bat,Right-arm fast-medium,52,244,36,14.35,129.78,63,24.76,8.66,17.1,201,1025,45*,14.04,118.49,213,26.53,8.51,18.6,Bowler
9,Sarfaraz Khan,Indian player,https://www.espncricinfo.com//ci/content/player/642525.html,India,22,India Under-19s,Yes,Middle-order batsman,Right-hand bat,Legbreak,0,0,0,0,0,0,0,0,0,58,645,67,23.03,137.52,0,-,18.0,-,batsman
10,Mandeep Singh,Indian player,https://www.espncricinfo.com//ci/content/player/398506.html,India,28,India,No,Allrounder,Right-hand bat,Right-arm medium,3,87,52*,43.5,119.17,-,-,-,-,165,3251,84*,27.78,127.99,16,21.06,6.67,18.9,Allrounder
11,Glenn Maxwell,overseas player,https://www.espncricinfo.com//ci/content/player/325026.html,Australia,31,Australia,No,Batting allrounder,Right-hand bat,Right-arm offbreak,64,1609,145*,33.52,158.36,28,26.21,7.41,21.2,273,6022,145*,27.12,153.77,98,30.6,7.66,23.9,Allrounder
12,Mohammed Shami,Indian player,https://www.espncricinfo.com//ci/content/player/481896.html,India,30,India,No,Bowler,Right-hand bat,Right-arm fast,11,-,-,-,-,12,31.83,9.63,19.8,85,66,21,5.50,98.50,95,25.67,8.25,18.6,Bowler
13,Mujeeb Ur Rahman,overseas player,https://www.espncricinfo.com//ci/content/player/974109.html,Afghanistan,19,Afghanistan,No,Bowler,Right-hand bat,Right-arm offbreak,19,8,8*,-,100.0,25,17.72,6.15,17.2,122,139,27,9.92,97.88,131,23.24,6.6,21.1,Bowler
14,Karun Nair,Indian player,https://www.espncricinfo.com//ci/content/player/398439.html,India,28,India,No,Top-order batsman,Right-hand bat,Right-arm offbreak,0,0,0,0,0,0,0,0,0,130,2639,111,25.62,132.21,2,32.00,7.11,27.0,batsman
15,James Neesham,overseas player,https://www.espncricinfo.com//ci/content/player/355269.html,New Zealand,30,New Zealand,No,Batting allrounder,Left-hand bat,Right-arm medium-fast,18,185,42,16.81,141.22,13,24.84,8.57,17.3,121,1754,59*,26.17,137.89,113,25.16,9.08,16.6,Allrounder
16,Nicholas Pooran,overseas player,https://www.espncricinfo.com//ci/content/player/604302.html,West Indies,24,West Indies,No,Wicketkeeper batsman,Left-hand bat,Wicketkeeper,21,353,58,23.53,124.73,-,-,-,-,140,2643,100*,24.47,140.96,-,-,-,-,Wicketkeeper batsman
17,Ishan Porel,Indian player,https://www.espncricinfo.com//ci/content/player/967603.html,India,22,Bengal,Yes,Bowler,Right-hand bat,Right-arm medium,0,0,0,0,0,0,0,0,0,14,2,2*,-,40.0,16,19.87,6.11,19.5,Bowler
18,Ravi Bishnoi,Indian player,https://www.espncricinfo.com//ci/content/player/1175441.html,India,20,India Under-19s,Yes,Bowler,Right-hand bat,Legbreak googly,0,0,0,0,0,0,0,0,0,8,27,22*,27.0,77.14,10,19.2,6.62,17.4,Bowler
19,Jagadeesha Suchith,Indian player,https://www.espncricinfo.com//ci/content/player/527663.html,India,26,Chennai Super Kings,Yes,Bowler,Left-hand bat,Slow left-arm orthodox,0,0,0,0,0,0,0,0,0,54,227,34*,17.46,122.7,46,27.52,7.4,22.3,Bowler
20,Tajinder Singh,Indian player,https://www.espncricinfo.com//ci/content/player/1079860.html,India,28,Kings XI Punjab,Yes,Allrounder,Right-hand bat,Right-arm offbreak,0,0,0,0,0,0,0,0,0,21,346,51,23.06,144.16,17,16.11,6.52,14.8,Allrounder
21,Hardus Viljoen,overseas player,https://www.espncricinfo.com//ci/content/player/375126.html,South Africa,31,Derbyshire,No,Bowler,Right-hand bat,Right-arm fast,0,0,0,0,0,0,0,0,0,125,590,41*,14.39,122.4,140,25.56,8.1,18.9,Bowler
22,Harpreet Brar,Indian player,https://www.espncricinfo.com/ci/content/player/1168641.html,India,25,Kings XI Punjab,Yes,Bowler,Left-hand bat,Slow left-arm orthodox,0,0,0,0,0,0,0,0,0,11,48,20*,8.00,96.0,14,19.35,7.25,16.0,Bowler
23,Darshan Nalkande,Indian player,https://www.espncricinfo.com/ci/content/player/1111917.html,India,21,India Under-19s,Yes,Bowler,Right-hand bat,Right-arm fast-medium,0,0,0,0,0,0,0,0,0,9,18,12,3.6,64.28,19,12.94,7.76,10.0,Bowler
24,Simran Singh,Indian player,https://www.espncricinfo.com/ci/content/player/1161024.html,India,20,India Under-19s,Yes,Wicketkeeper batsman,Right-hand bat,Wicketkeeper,0,0,0,0,0,0,0,0,0,14,247,57*,20.58,139.54,-,-,-,-,Wicketkeeper batsman
