,name,player_status,player_stat,country,Age,Major_team,uncapped,Specialist,Batting_style,Bowling_style,Mat_in,Runs_in,HS_in,Bat_avg_in,Bat_SR_in,Wkts_in,Bowl_Ave_in,Econ_in,Bowl_SR_in,Mat_FC,Runs_FC,HS_FC,Bat_avg_FC,Bat_SR_FC,Wkts_FC,Bowl_Ave_FC,Econ_FC,Bowl_SR_FC,Skill
0,Rohit Sharma,captain,https://www.espncricinfo.com//ci/content/player/34102.html,India,33,India,No,Top-order batsman,Right-hand bat,Right-arm offbreak,108,2773,118,32.62,138.78,1,113.0,9.97,68.0,330,8734,118,32.34,133.81,29,28.17,7.8,21.6,batsman
1,Anmolpreet Singh,Indian player,https://www.espncricinfo.com//ci/content/player/851261.html,India,22,India A,Yes,Batsman,Right-hand bat,Right-arm offbreak,0,0,0,0,0,0,0,0,0,26,419,84,19.04,106.07,-,-,-,-,batsman
2,Trent Boult,overseas player,https://www.espncricinfo.com//ci/content/player/277912.html,New Zealand,31,New Zealand,No,Bowler,Right-hand bat,Left-arm fast-medium,27,22,8,4.4,68.75,39,21.89,8.64,15.2,97,51,8,4.63,70.83,108,27.19,8.41,19.3,Bowler
3,Jasprit Bumrah,Indian player,https://www.espncricinfo.com//ci/content/player/625383.html,India,26,India,No,Bowler,Right-hand bat,Right-arm fast,50,8,7,4.0,61.53,59,20.25,6.66,18.2,159,74,16*,10.57,92.5,185,22.55,7.09,19.0,Bowler
4,Rahul Chahar,Indian player,https://www.espncricinfo.com//ci/content/player/1064812.html,India,21,India,No,Bowler,Right-hand bat,Legbreak googly,1,-,-,-,-,1,27.0,9.0,18.0,37,66,13*,11.00,94.28,42,22.33,7.15,18.7,Bowler
5,Nathan Coulter-Nile,overseas player,https://www.espncricinfo.com//ci/content/player/261354.html,Australia,32,Australia,No,Bowler,Right-hand bat,Right-arm fast,28,150,34,13.63,125.0,34,23.58,8.26,17.1,120,625,42*,14.88,133.54,140,23.38,7.76,18.0,Bowler
6,Quinton de Kock,wicketkeeper,https://www.espncricinfo.com//ci/content/player/379143.html,South Africa,27,South Africa,No,Wicketkeeper batsman,Left-hand bat,Wicketkeeper,44,1226,79*,31.43,136.07,-,-,-,-,186,5544,126*,33.19,138.56,-,-,-,-,Wicketkeeper batsman
7,Ishan Kishan,Indian player,https://www.espncricinfo.com//ci/content/player/720471.html,India,22,Bihar,Yes,Wicketkeeper batsman,Left-hand bat,Wicketkeeper,0,0,0,0,0,0,0,0,0,76,1714,113*,24.84,130.83,-,-,-,-,Wicketkeeper batsman
8,Dhawal Kulkarni,Indian player,https://www.espncricinfo.com//ci/content/player/277955.html,India,31,India,No,Bowler,Right-hand bat,Right-arm medium,2,1,1*,-,100.0,3,18.33,6.87,16.0,144,203,28*,11.27,98.54,147,26.19,7.95,19.7,Bowler
9,Chris Lynn,overseas player,https://www.espncricinfo.com//ci/content/player/326637.html,Australia,30,Australia,No,Batsman,Right-hand bat,Slow left-arm orthodox,18,291,44,19.4,131.67,-,-,-,-,193,5234,113*,31.91,142.88,3,31.00,7.15,26.0,batsman
10,Mitchell McClenaghan,overseas player,https://www.espncricinfo.com//ci/content/player/319439.html,New Zealand,34,New Zealand,No,Bowler,Left-hand bat,Left-arm fast-medium,29,24,10,6.0,104.34,30,26.3,7.78,20.2,193,229,20,6.02,114.5,229,25.41,8.5,17.9,Bowler
11,Hardik Pandya,Indian player,https://www.espncricinfo.com//ci/content/player/625371.html,India,26,India,No,Allrounder,Right-hand bat,Right-arm medium-fast,40,310,33*,16.31,147.61,38,25.68,8.35,18.4,137,2178,91,27.56,139.7,106,27.21,8.2,19.9,Allrounder
12,Krunal Pandya,Indian player,https://www.espncricinfo.com//ci/content/player/471342.html,India,29,India,No,Allrounder,Left-hand bat,Slow left-arm orthodox,18,121,26*,24.2,131.52,14,38.42,8.11,28.4,104,1342,86,23.13,138.06,80,29.05,7.36,23.6,Allrounder
13,James Pattinson,overseas player,https://www.espncricinfo.com//ci/content/player/272465.html,Australia,30,Australia,No,Bowler,Left-hand bat,Right-arm fast-medium,4,5,5*,-,166.66,3,34.66,8.0,26.0,41,102,27*,7.84,102.0,50,23.72,8.16,17.4,Bowler
14,Kieron Pollard,overseas player,https://www.espncricinfo.com//ci/content/player/230559.html,West Indies,33,West Indies,No,Allrounder,Right-hand bat,Right-arm medium,73,1123,68,23.39,132.27,35,26.25,8.43,18.6,514,10238,104,31.11,151.38,288,24.2,8.18,17.7,Allrounder
15,Anukul Roy,Indian player,https://www.espncricinfo.com//ci/content/player/1079839.html,India,21,Bihar,Yes,Allrounder,Left-hand bat,Slow left-arm orthodox,0,0,0,0,0,0,0,0,0,21,159,47*,19.87,128.22,12,38.16,6.85,33.4,Allrounder
16,Sherfane Rutherford,overseas player,https://www.espncricinfo.com//ci/content/player/914541.html,West Indies,22,West Indies,No,Middle-order batsman,Left-hand bat,Right-arm fast-medium,6,43,26,10.75,119.44,1,49.0,8.16,36.0,46,624,60,20.8,133.9,8,32.12,8.33,23.1,batsman
