,name,player_status,player_stat,country,Age,Major_team,uncapped,Specialist,Batting_style,Bowling_style,Mat_in,Runs_in,HS_in,Bat_avg_in,Bat_SR_in,Wkts_in,Bowl_Ave_in,Econ_in,Bowl_SR_in,Mat_FC,Runs_FC,HS_FC,Bat_avg_FC,Bat_SR_FC,Wkts_FC,Bowl_Ave_FC,Econ_FC,Bowl_SR_FC,Skill
0,Virat Kohli,captain,https://www.espncricinfo.com//ci/content/player/253802.html,India,31,India,No,Top-order batsman,Right-hand bat,Right-arm medium,82,2794,94*,50.8,138.24,4,49.50,8.13,36.5,283,8915,113,40.89,134.42,8,82.62,8.73,56.7,batsman
1,Moeen Ali,overseas player,https://www.espncricinfo.com//ci/content/player/8917.html,England,33,England,No,Batting allrounder,Left-hand bat,Right-arm offbreak,34,392,72*,17.04,134.7,17,37.05,8.59,25.8,164,3501,121*,25.18,140.6,109,26.82,7.67,20.9,Allrounder
2,Yuzvendra Chahal,Indian player,https://www.espncricinfo.com//ci/content/player/430246.html,India,30,India,No,Bowler,Right-hand bat,Legbreak googly,42,5,3*,2.5,45.45,55,24.34,8.18,17.8,174,56,10,4.3,55.44,193,23.89,7.54,19.0,Bowler
3,Pavan Deshpande,Indian player,https://www.espncricinfo.com//ci/content/player/422104.html,India,31,Bellary Tuskers,Yes,Allrounder,Left-hand bat,Right-arm offbreak,0,0,0,0,0,0,0,0,0,20,426,63,47.33,149.47,4,40.75,8.35,29.2,Allrounder
4,AB de Villiers,overseas player,https://www.espncricinfo.com//ci/content/player/44936.html,South Africa,36,South Africa,No,Wicketkeeper batsman,Right-hand bat,Right-arm medium,78,1672,79*,26.12,135.16,-,-,-,-,312,8736,133*,37.17,149.89,-,-,-,-,Wicketkeeper batsman
5,Shivam Dube,Indian player,https://www.espncricinfo.com//ci/content/player/714451.html,India,27,India,No,Allrounder,Left-hand bat,Right-arm medium,13,105,54,17.5,136.36,5,43.20,10.04,25.8,41,418,54,16.07,136.6,29,27.03,8.85,18.3,Allrounder
6,Aaron Finch,overseas player,https://www.espncricinfo.com//ci/content/player/5334.html,Australia,33,Australia,No,Top-order batsman,Right-hand bat,Slow left-arm orthodox,64,2114,172,38.43,154.64,0,-,13.5,-,289,9088,172,36.06,143.34,7,51.28,9.24,33.2,batsman
7,Gurkeerat Singh Mann,Indian player,https://www.espncricinfo.com//ci/content/player/537124.html,India,30,India,No,Middle-order batsman,Right-hand bat,Right-arm offbreak,0,0,0,0,0,0,0,0,0,98,1624,93*,22.87,125.11,6,39.50,7.4,32.0,batsman
8,Mohammed Siraj,Indian player,https://www.espncricinfo.com//ci/content/player/940973.html,India,26,India,No,Bowler,Right-hand bat,Right-arm medium-fast,3,-,-,-,-,3,49.33,12.33,24.0,58,52,14,5.77,76.47,79,22.54,8.44,16.0,Bowler
9,Chris Morris,overseas player,https://www.espncricinfo.com//ci/content/player/439952.html,South Africa,33,South Africa,No,Bowling allrounder,Right-hand bat,Right-arm fast-medium,23,133,55*,14.77,130.39,34,20.5,8.39,14.6,209,1730,82*,21.62,150.82,259,22.22,7.81,17.0,Allrounder
10,Pawan Negi,Indian player,https://www.espncricinfo.com//ci/content/player/530773.html,India,27,Air India,Yes,Bowler,Left-hand bat,Slow left-arm orthodox,1,-,-,-,-,1,16.0,5.33,18.0,116,803,41*,15.74,122.22,96,23.59,7.34,19.2,Bowler
11,Devdutt Padikkal,Indian player,https://www.espncricinfo.com//ci/content/player/1119026.html,India,20,Bellary Tuskers,Yes,Top-order batsman,Left-hand bat,Right-arm offbreak,0,0,0,0,0,0,0,0,0,14,637,122*,57.9,170.32,-,-,-,-,batsman
12,Parthiv Patel,wicketkeeper,https://www.espncricinfo.com//ci/content/player/32242.html,India,35,India,No,Wicketkeeper batsman,Left-hand bat,Right-arm offbreak,2,36,26,18.0,112.5,-,-,-,-,204,4300,82,22.87,123.84,-,-,-,-,Wicketkeeper batsman
13,Josh Philippe,overseas player,https://www.espncricinfo.com//ci/content/player/1124282.html,Australia,23,Australian Prime Minister's Invitation XI,No,Wicketkeeper batsman,Right-hand bat,Wicketkeeper,0,0,0,0,0,0,0,0,0,34,799,86*,31.96,137.28,-,-,-,-,Wicketkeeper batsman
14,Shahbaz Ahmed,Indian player,https://www.espncricinfo.com//ci/content/player/1159711.html,India,25,Bengal,Yes,Allrounder,Left-hand bat,Slow left-arm orthodox,0,0,0,0,0,0,0,0,0,16,158,60*,31.6,128.45,15,22.53,6.37,21.2,Allrounder
15,Navdeep Saini,Indian player,https://www.espncricinfo.com//ci/content/player/700167.html,India,27,India,No,Bowler,Right-hand bat,Right-arm fast,10,11,11*,-,110.0,13,18.07,7.15,15.1,47,29,11*,9.66,72.5,45,27.11,7.12,22.8,Bowler
16,Dale Steyn,overseas player,https://www.espncricinfo.com//ci/content/player/47492.html,South Africa,37,South Africa,No,Bowler,Right-hand bat,Right-arm fast,47,21,5*,3.5,80.76,64,18.35,6.94,15.8,222,312,27*,8.66,109.85,257,21.74,6.8,19.1,Bowler
17,Isuru Udana,overseas player,https://www.espncricinfo.com//ci/content/player/328026.html,Sri Lanka,32,Sri Lanka,No,Allrounder,Right-hand bat,Left-arm medium-fast,30,230,84*,19.16,144.65,24,31.91,8.68,22.0,135,905,84*,16.16,128.55,145,23.83,8.02,17.8,Allrounder
18,Washington Sundar,Indian player,https://www.espncricinfo.com//ci/content/player/719715.html,India,20,India,No,Bowling allrounder,Left-hand bat,Right-arm offbreak,23,26,14*,6.50,162.50,19,27.73,6.93,24.0,71,733,54*,24.43,122.37,57,26.49,6.74,23.5,Allrounder
19,Umesh Yadav,Indian player,https://www.espncricinfo.com//ci/content/player/376116.html,India,32,India,No,Bowler,Right-hand bat,Right-arm fast,7,2,2,2.0,50.0,9,24.33,8.76,16.6,148,194,26,8.81,116.16,148,28.9,8.36,20.7,Bowler
