,name,player_status,player_stat,country,Age,Major_team,uncapped,Specialist,Batting_style,Bowling_style,Mat_in,Runs_in,HS_in,Bat_avg_in,Bat_SR_in,Wkts_in,Bowl_Ave_in,Econ_in,Bowl_SR_in,Mat_FC,Runs_FC,HS_FC,Bat_avg_FC,Bat_SR_FC,Wkts_FC,Bowl_Ave_FC,Econ_FC,Bowl_SR_FC,Skill
0,Steven Smith,captain,https://www.espncricinfo.com//ci/content/player/267192.html,Australia,31,Australia,No,Middle-order batsman,Right-hand bat,Legbreak googly,42,712,90,27.38,131.12,17,22.17,7.77,17.1,193,4114,101,31.4,126.54,54,19.55,7.68,15.2,batsman
1,Varun Aaron,Indian player,https://www.espncricinfo.com//ci/content/player/360911.html,India,30,India,No,Bowler,Right-hand bat,Right-arm fast,0,0,0,0,0,0,0,0,0,83,123,17*,9.46,73.65,87,27.7,8.49,19.5,Bowler
2,Akash Singh,Indian player,https://www.espncricinfo.com//ci/content/player/1175458.html,India,18,India A Under-19s,Yes,Bowler,Right-hand bat,Left-arm medium-fast,0,0,0,0,0,0,0,0,0,1,-,-,-,-,2,13.0,6.5,12.0,Bowler
3,Jofra Archer,overseas player,https://www.espncricinfo.com//ci/content/player/669855.html,England,25,England,No,Bowler,Right-hand bat,Right-arm fast,4,-,-,-,-,5,25.2,8.4,18.0,99,446,36,17.84,144.80,125,22.73,7.82,17.4,Bowler
4,Jos Buttler,wicketkeeper,https://www.espncricinfo.com//ci/content/player/308967.html,England,30,England,No,Wicketkeeper batsman,Right-hand bat,Wicketkeeper,71,1455,77*,28.52,140.17,-,-,-,-,254,5903,95*,30.9,144.75,-,-,-,-,Wicketkeeper batsman
5,Tom Curran,overseas player,https://www.espncricinfo.com//ci/content/player/550235.html,England,25,England,No,Bowling allrounder,Right-hand bat,Right-arm fast-medium,24,54,14*,13.5,114.89,24,29.0,8.92,19.5,127,899,62,18.72,132.01,153,24.24,8.7,16.6,Allrounder
6,Shreyas Gopal,Indian player,https://www.espncricinfo.com//ci/content/player/344580.html,India,27,Bengaluru Blasters,Yes,Allrounder,Right-hand bat,Legbreak,0,0,0,0,0,0,0,0,0,62,266,39,14.77,120.36,79,17.05,7.2,14.1,Allrounder
7,Yashasvi Jaiswal,Indian player,https://www.espncricinfo.com//ci/content/player/1151278.html,India,18,India A Under-19s,Yes,Opening batsman,Left-hand bat,Legbreak,0,0,0,0,0,0,0,0,0,1,6,6,6.0,100.0,-,-,-,-,batsman
8,Kartik Tyagi,Indian player,https://www.espncricinfo.com//ci/content/player/1122918.html,India,19,India A Under-19s,Yes,Bowler,Right-hand bat,Right-arm medium-fast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bowler
9,Mahipal Lomror,Indian player,https://www.espncricinfo.com//ci/content/player/853265.html,India,20,Delhi Daredevils,Yes,Allrounder,Left-hand bat,Slow left-arm orthodox,0,0,0,0,0,0,0,0,0,39,810,78*,26.12,117.9,6,64.16,7.35,52.3,Allrounder
