,name,player_status,player_stat,country,Age,Major_team,uncapped,Specialist,Batting_style,Bowling_style,Mat_in,Runs_in,HS_in,Bat_avg_in,Bat_SR_in,Wkts_in,Bowl_Ave_in,Econ_in,Bowl_SR_in,Mat_FC,Runs_FC,HS_FC,Bat_avg_FC,Bat_SR_FC,Wkts_FC,Bowl_Ave_FC,Econ_FC,Bowl_SR_FC,Skill
0,David Warner,captain,https://www.espncricinfo.com//ci/content/player/219889.html,Australia,33,Australia,No,Opening batsman,Left-hand bat,Legbreak,81,2265,100*,31.45,139.72,-,-,-,-,284,9318,135*,37.72,141.86,0,-,13.00,-,batsman
1,Abdul Samad,Indian player,https://www.espncricinfo.com//ci/content/player/1175485.html,India,18,Jammu & Kashmir,Yes,Batsman,Right-hand bat,Legbreak,0,0,0,0,0,0,0,0,0,11,240,76*,40.0,136.36,1,54.0,7.71,42.0,batsman
2,Abhishek Sharma,Indian player,https://www.espncricinfo.com//ci/content/player/1070183.html,India,20,Delhi Daredevils,Yes,Bowler,Left-hand bat,Slow left-arm orthodox,0,0,0,0,0,0,0,0,0,17,295,72,24.58,150.51,6,17.0,7.28,14.0,Bowler
3,Khaleel Ahmed,Indian player,https://www.espncricinfo.com//ci/content/player/942645.html,India,22,India,No,Bowler,Right-hand bat,Left-arm medium,14,1,1*,-,100.0,13,35.3,8.82,24.0,49,5,3*,2.50,55.55,74,19.25,7.98,14.4,Bowler
4,Fabian Allen,overseas player,https://www.espncricinfo.com//ci/content/player/670013.html,West Indies,25,West Indies,No,Bowling allrounder,Right-hand bat,Slow left-arm orthodox,13,67,27,9.57,113.55,11,21.63,6.8,19.0,29,404,64*,25.25,164.89,16,30.75,7.43,24.8,Allrounder
5,Jonny Bairstow,wicketkeeper,https://www.espncricinfo.com//ci/content/player/297433.html,England,31,England,No,Wicketkeeper batsman,Right-hand bat,Right-arm medium,43,843,68,26.34,137.52,-,-,-,-,124,2607,114,28.03,134.52,-,-,-,-,Wicketkeeper batsman
6,Basil Thampi,Indian player,https://www.espncricinfo.com//ci/content/player/732291.html,India,27,Gujarat Lions,Yes,Bowler,Right-hand bat,Right-arm fast-medium,0,0,0,0,0,0,0,0,0,57,67,22,9.57,104.68,60,27.81,8.31,20.0,Bowler
7,Priyam Garg,Indian player,https://www.espncricinfo.com//ci/content/player/1070180.html,India,19,India C,Yes,Top-order batsman,Right-hand bat,Right-arm medium,0,0,0,0,0,0,0,0,0,13,239,59*,26.55,129.89,-,-,-,-,batsman
8,Shreevats Goswami,Indian player,https://www.espncricinfo.com//ci/content/player/302579.html,India,31,Bengal,Yes,Wicketkeeper batsman,Left-hand bat,Wicketkeeper,0,0,0,0,0,0,0,0,0,96,2131,86*,27.32,116.25,-,-,-,-,Wicketkeeper batsman
9,Jason Holder,overseas player,https://www.espncricinfo.com//ci/content/player/391485.html,West Indies,28,West Indies,No,Bowling allrounder,Right-hand bat,Right-arm medium-fast,17,111,26*,12.33,132.14,13,40.3,8.42,28.6,116,949,69,14.16,128.76,91,33.01,7.67,25.8,Allrounder
10,Siddarth Kaul,Indian player,https://www.espncricinfo.com//ci/content/player/326017.html,India,30,India,No,Bowler,Right-hand bat,Right-arm medium,3,-,-,-,-,4,21.00,8.68,14.5,104,67,8*,6.70,85.89,114,24.64,7.56,19.5,Bowler
11,Bhuvneshwar Kumar,Indian player,https://www.espncricinfo.com//ci/content/player/326016.html,India,30,India,No,Bowler,Right-hand bat,Right-arm medium,43,23,9,5.75,79.31,41,26.53,7.04,22.5,174,253,24*,7.9,94.75,182,25.29,7.19,21.1,Bowler
12,Mohammad Nabi,overseas player,https://www.espncricinfo.com//ci/content/player/25913.html,Afghanistan,35,Afghanistan,No,Allrounder,Right-hand bat,Right-arm offbreak,78,1347,89,22.08,145.3,69,27.11,7.17,22.6,271,4118,89,22.62,141.31,267,23.34,6.89,20.3,Allrounder
13,Shahbaz Nadeem,Indian player,https://www.espncricinfo.com//ci/content/player/31872.html,India,31,India,No,Bowler,Right-hand bat,Slow left-arm orthodox,0,0,0,0,0,0,0,0,0,122,246,36*,8.20,87.85,103,28.12,6.74,25.0,Bowler
14,T Natarajan,Indian player,https://www.espncricinfo.com//ci/content/player/802575.html,India,29,Dindigul Dragons,Yes,Bowler,Left-hand bat,Left-arm medium,0,0,0,0,0,0,0,0,0,24,5,3*,5.00,55.55,21,25.52,7.22,21.1,Bowler
15,Manish Pandey,Indian player,https://www.espncricinfo.com//ci/content/player/290630.html,India,31,India,No,Top-order batsman,Right-hand bat,Right-arm medium,38,707,79*,47.13,127.61,-,-,-,-,242,5409,129*,32.19,124.68,10,21.20,7.57,16.8,batsman
16,Rashid Khan,overseas player,https://www.espncricinfo.com//ci/content/player/793463.html,Afghanistan,22,Afghanistan,No,Bowler,Right-hand bat,Legbreak googly,48,163,33,14.81,125.38,89,12.62,6.14,12.3,223,945,56*,11.96,146.28,308,17.54,6.33,16.6,Bowler
